,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
1541,David Toms,62,71.092,270.0,74.50,64.66,-.102,.178,.076,383,2,,2015,"$742,470",USA
1542,Davis Love III,51,71.289,294.7,64.94,67.43,-.347,-.031,-.377,735,2,1,2015,"$1,263,596",USA
1543,Derek Ernst,75,71.453,295.1,64.30,66.51,-.516,-.015,-.531,250,,,2015,"$320,095",USA
1544,Derek Fathauer,81,71.431,288.8,51.63,61.33,.301,-.474,-.173,263,1,,2015,"$482,023",USA
1545,Dustin Johnson,75,69.585,317.7,55.53,67.05,.128,1.326,1.455,"1,360",11,1,2015,"$5,509,467",USA
1546,Eric Axley,57,71.977,286.4,55.54,61.21,.150,-1.101,-.952,152,,,2015,"$170,687",USA
1547,Erik Compton,86,71.228,288.4,59.31,63.18,.469,-.385,.084,471,1,,2015,"$676,602",USA
1548,Ernie Els,57,71.830,291.7,56.79,64.52,-.609,.009,-.600,233,,,2015,"$453,579",RSA
1549,Fabián Gómez,83,71.207,283.2,60.88,63.52,.062,-.386,-.324,"1,069",2,1,2015,"$1,651,012",ARG
1550,Francesco Molinari,56,70.458,281.6,76.88,71.07,-.255,.859,.604,558,2,,2015,"$997,389",ITA
1551,Gary Woodland,81,70.982,305.5,56.21,66.74,.077,.121,.198,"1,300",4,,2015,"$2,605,083",USA
1552,Geoff Ogilvy,50,71.559,293.7,59.59,66.55,-.692,.260,-.432,350,1,,2015,"$653,925",AUS
1553,George McNeill,93,70.478,286.2,64.10,66.43,.212,.351,.563,"1,086",1,,2015,"$1,331,768",USA
1554,Gonzalo Fernandez-Castaño,81,71.500,289.3,60.97,63.92,-.522,-.125,-.646,272,,,2015,"$312,053",ESP
1555,Graham DeLaet,65,70.720,298.7,65.46,69.15,-.012,.299,.287,545,3,,2015,"$988,349",CAN
1556,Greg Chalmers,58,71.363,281.5,62.17,63.79,.529,-1.133,-.605,242,,,2015,"$291,016",AUS
1557,Greg Owen,58,71.512,293.8,59.63,69.25,-.798,.572,-.226,608,2,,2015,"$1,180,794",ENG
1558,Harris English,105,70.235,298.4,58.51,67.05,.560,.217,.777,360,3,,2015,"$1,971,687",USA
1559,Heath Slocum,57,72.362,275.8,69.51,62.79,-.594,-.970,-1.564,62,,,2015,"$122,480",USA
1560,Henrik Stenson,63,69.354,296.4,69.91,73.52,.436,1.774,2.210,"2,307",8,,2015,"$4,755,070",SWE
1561,Hideki Matsuyama,95,69.940,294.5,65.25,69.20,.076,1.388,1.464,558,9,,2015,"$3,758,619",JPN
1562,Hudson Swafford,97,70.732,298.9,63.34,68.54,.360,-.022,.338,776,1,,2015,"$959,391",USA
1563,Hunter Mahan,88,71.124,295.1,58.91,65.79,.390,-.270,.120,"1,208",4,,2015,"$1,617,973",USA
1564,Ian Poulter,68,70.421,286.7,63.58,65.71,.225,.329,.554,981,4,,2015,"$1,690,587",ENG
1565,J.B. Holmes,89,70.581,309.9,54.05,63.66,-.004,.949,.944,618,7,1,2015,"$4,037,430",USA
1566,J.J. Henry,94,71.334,292.3,60.29,69.88,-.414,.105,-.308,716,1,1,2015,"$1,046,123",USA
1567,James Hahn,94,70.896,295.1,59.89,66.13,.048,.307,.355,"1,202",2,1,2015,"$2,064,783",USA
1568,Jamie Donaldson,50,71.102,294.9,60.09,63.83,.349,-.008,.341,447,2,,2015,"$938,664",WAL
1569,Jason Bohn,95,70.235,277.1,71.58,68.89,.239,.538,.777,"1,373",6,,2015,"$2,337,580",USA
1570,Jason Day,75,69.161,313.7,55.94,70.83,.586,1.520,2.106,"2,290",11,5,2015,"$9,403,330",AUS
1571,Jason Dufner,76,70.633,286.7,67.81,69.03,-.700,.922,.222,730,2,,2015,"$1,007,997",USA
1572,Jason Gore,76,71.273,290.4,66.67,67.52,-.067,.157,.089,712,2,,2015,"$1,101,246",USA
1573,Jason Kokrak,88,70.654,305.6,56.41,67.30,-.012,.306,.293,614,2,,2015,"$1,033,489",USA
1574,Jeff Overton,94,70.836,284.8,58.87,65.70,.105,-.014,.091,464,1,,2015,"$561,614",USA
1575,Jerry Kelly,79,70.383,277.2,70.45,65.96,.250,.186,.436,966,4,,2015,"$1,336,607",USA
1576,Jhonattan Vegas,90,71.326,299.9,56.01,65.44,.086,-.353,-.267,353,,,2015,"$446,345",VEN
1577,Jim Furyk,71,69.845,281.9,69.08,69.79,-.024,1.658,1.634,304,7,1,2015,"$3,732,664",USA
1578,Jim Herman,88,70.719,293.8,67.10,73.23,-.030,.407,.376,840,2,,2015,"$1,212,778",USA
1579,Jim Renner,68,72.431,283.3,57.44,65.24,-.995,-.454,-1.449,63,,,2015,"$90,668",USA
1580,Jimmy Walker,89,70.268,301.6,52.23,66.09,.692,.241,.933,558,6,2,2015,"$4,521,350",USA
1581,John Huh,102,71.037,279.8,69.44,64.85,.279,-.191,.088,565,,,2015,"$678,556",USA
1582,John Merrick,78,71.334,285.0,68.32,67.64,-.775,.420,-.356,311,,,2015,"$391,513",USA
1583,John Peterson,84,70.735,288.1,67.52,68.32,-.184,.435,.251,588,,,2015,"$779,509",USA
1584,John Senden,80,71.090,290.2,66.60,67.26,-.061,.142,.082,848,3,,2015,"$1,422,033",AUS
1585,Johnson Wagner,68,70.807,290.7,62.11,68.95,.203,-.108,.095,733,3,,2015,"$1,131,659",USA
1586,Jon Curran,83,70.849,273.5,67.46,66.39,-.028,-.059,-.088,540,5,,2015,"$1,049,549",USA
1587,Jonas Blixt,78,71.238,287.6,60.26,62.71,.122,-.562,-.440,471,1,,2015,"$703,664",SWE
1588,Jonathan Byrd,69,70.830,287.5,65.60,67.35,.084,.148,.232,335,,,2015,"$446,732",USA
1589,Jonathan Randolph,72,71.606,287.2,55.19,64.37,.132,-.850,-.718,209,,,2015,"$256,066",USA
1590,Jordan Spieth,91,68.938,291.8,62.91,67.87,.571,1.583,2.154,"3,800",15,5,2015,"$12,030,465",USA
1591,Justin Leonard,61,71.517,271.6,71.70,62.57,.231,-.544,-.313,188,,,2015,"$219,175",USA
1592,Justin Rose,69,69.744,303.5,63.87,70.54,.023,1.471,1.493,"1,235",8,1,2015,"$5,462,677",ENG
1593,Justin Thomas,106,70.105,303.2,58.24,68.92,.042,.926,.968,"1,498",7,,2015,"$2,278,564",USA
1594,K.J. Choi,66,71.372,276.5,64.09,63.80,.415,-.159,.256,358,,,2015,"$448,864",KOR
1595,Keegan Bradley,87,70.450,306.1,64.85,67.53,-.070,1.088,1.018,"1,103",3,,2015,"$1,565,079",USA
1596,Ken Duke,93,71.306,278.1,67.91,64.17,-.222,-.156,-.378,523,3,,2015,"$817,675",USA
1597,Kevin Chappell,86,70.672,293.5,63.86,66.02,.168,.202,.370,"1,186",2,,2015,"$1,281,552",USA
1598,Kevin Kisner,104,70.344,287.8,66.85,66.24,.240,.389,.628,444,6,,2015,"$3,567,939",USA
1599,Kevin Na,98,70.121,280.1,62.51,64.56,.233,.711,.944,410,7,,2015,"$2,820,766",USA
1600,Kevin Streelman,95,71.282,289.5,68.63,68.99,-.219,.352,.133,840,2,,2015,"$1,525,774",USA
1601,Kyle Reifers,96,70.854,288.0,61.59,67.03,.036,.101,.136,804,2,,2015,"$1,179,228",USA
1602,Lee Westwood,56,70.484,300.0,59.70,66.45,.595,.283,.879,576,1,,2015,"$946,628",ENG
1603,Louis Oosthuizen,68,70.160,298.8,59.84,68.28,-.220,.825,.605,176,6,,2015,"$3,251,174",RSA
1604,Lucas Glover,79,71.291,296.9,63.82,70.46,-1.351,1.170,-.181,375,,,2015,"$515,241",USA
1605,Luke Donald,71,70.555,277.0,59.28,65.57,.289,.295,.584,782,2,,2015,"$1,026,643",ENG
1606,Luke Guthrie,84,71.211,283.9,58.86,63.75,.110,-.147,-.037,373,1,,2015,"$575,150",USA
1607,Marc Leishman,74,70.569,294.8,54.99,65.62,-.020,.322,.302,854,4,,2015,"$1,762,267",AUS
1608,Mark Hubbard,79,71.227,278.5,66.32,66.81,-.102,-.281,-.383,274,,,2015,"$293,980",USA
1609,Mark Wilson,89,70.991,279.2,64.53,67.84,-.065,.092,.026,681,3,,2015,"$851,845",USA
1610,Martin Flores,95,70.919,296.8,56.83,68.32,-.216,.255,.038,345,,,2015,"$449,274",USA
1611,Martin Laird,77,70.772,300.5,58.54,66.31,.100,.206,.306,628,3,,2015,"$1,124,988",SCO
1612,Matt Every,73,72.419,286.6,51.52,58.10,.075,-1.043,-.968,727,1,1,2015,"$1,521,816",USA
1613,Matt Jones,89,70.812,296.0,59.70,64.05,.401,.263,.664,"1,445",4,,2015,"$1,995,553",AUS
1614,Matt Kuchar,97,70.040,288.5,63.23,66.55,.316,.817,1.133,530,7,,2015,"$2,774,170",USA
1615,Max Homa,78,71.763,294.2,56.45,62.99,-.110,-.619,-.729,278,1,,2015,"$380,339",USA
1616,Michael Putnam,87,71.156,288.8,61.47,70.13,-.526,.373,-.153,407,,,2015,"$557,803",USA
1617,Michael Thompson,83,71.230,289.3,58.24,65.43,.153,-.349,-.195,378,1,,2015,"$599,835",USA
1618,Morgan Hoffmann,85,70.988,296.1,54.83,61.11,.232,-.035,.196,749,2,,2015,"$1,111,240",USA
1619,Nicholas Thompson,90,71.396,286.0,68.70,68.60,-.493,-.219,-.712,442,1,,2015,"$667,185",USA
1620,Nick Taylor,91,71.716,292.3,56.05,64.41,.112,-.489,-.377,613,1,1,2015,"$1,072,360",CAN
1621,Nick Watney,91,70.680,294.0,61.08,67.34,-.403,.661,.258,"1,135",3,,2015,"$1,733,873",USA
1622,Oscar Fraustro,58,72.080,289.5,61.78,63.17,-.283,-1.034,-1.316,171,1,,2015,"$262,475",MEX
1623,Padraig Harrington,60,71.950,290.5,51.72,61.02,-.493,-.263,-.756,610,1,1,2015,"$1,330,852",IRL
1624,Pat Perez,96,70.666,284.6,65.70,67.88,.364,.222,.586,"1,287",2,,2015,"$1,588,664",USA
1625,Patrick Reed,103,70.292,292.9,54.78,64.42,.394,.465,.859,656,4,1,2015,"$3,590,566",USA
1626,Paul Casey,87,69.806,297.8,64.16,72.36,.014,1.202,1.216,632,8,,2015,"$3,488,311",ENG
1627,Phil Mickelson,70,70.585,300.5,55.98,61.51,.262,.319,.581,"1,091",3,,2015,"$2,154,200",USA
1628,Retief Goosen,81,71.667,292.6,56.57,62.19,.027,-.365,-.338,519,3,,2015,"$921,830",RSA
1629,Rickie Fowler,76,70.230,296.8,62.08,65.81,.309,.779,1.088,"1,838",7,2,2015,"$5,773,430",USA
1630,Ricky Barnes,82,71.647,283.3,54.10,60.47,.159,-.555,-.396,347,1,,2015,"$614,455",USA
1631,Robert Allenby,63,72.102,282.7,63.06,66.67,-.754,-.215,-.970,169,1,,2015,"$271,887",AUS
1632,Robert Garrigus,70,71.774,301.7,56.72,63.97,-.697,-.189,-.887,226,,,2015,"$253,699",USA
1633,Robert Streb,110,70.130,297.1,59.47,69.14,.381,.712,1.093,542,9,1,2015,"$3,947,424",USA
1634,Roberto Castro,54,71.334,279.8,65.76,66.11,-.732,.612,-.120,167,,,2015,"$179,723",USA
1635,Roger Sloan,56,72.533,293.6,59.45,63.14,-.502,-1.103,-1.605,103,,,2015,"$133,048",CAN
1636,Rory Sabbatini,81,70.435,290.0,60.30,67.83,-.106,.567,.461,"1,064",4,,2015,"$1,525,784",RSA
1637,Russell Henley,87,70.581,297.1,64.39,67.06,.579,-.116,.462,"1,072",4,,2015,"$2,110,774",USA
1638,Russell Knox,96,70.421,284.4,67.76,70.83,-.021,.827,.806,"1,435",3,,2015,"$1,916,666",SCO
1639,Ryan Moore,81,70.829,282.6,70.05,65.24,.160,.418,.578,"1,374",4,1,2015,"$2,642,306",USA
1640,Ryan Palmer,80,70.102,305.2,56.57,66.81,.147,.813,.960,"1,386",5,,2015,"$1,974,523",USA
1641,Ryo Ishikawa,90,71.246,289.2,56.39,66.41,-.103,.052,-.051,476,2,,2015,"$851,044",JPN
1642,Sam Saunders,83,71.668,293.2,64.00,65.23,-.136,-.360,-.496,413,1,,2015,"$578,571",USA
1643,Sangmoon Bae,98,71.036,289.8,60.03,62.93,.260,-.201,.059,390,5,1,2015,"$2,599,632",KOR
1644,Scott Brown,97,70.797,288.2,62.77,65.18,-.031,.216,.185,696,3,,2015,"$1,161,750",USA
1645,Scott Langley,94,71.032,280.5,61.90,64.67,.018,.108,.126,448,,,2015,"$638,182",USA
1646,Scott Piercy,90,70.688,296.7,59.30,66.73,.006,.322,.329,432,5,1,2015,"$2,780,027",USA
1647,Scott Pinckney,88,71.103,290.3,60.95,67.61,.294,-.426,-.131,761,3,,2015,"$1,259,389",USA
1648,Scott Stallings,60,71.961,291.8,57.74,65.00,-.392,-.166,-.558,447,1,,2015,"$919,619",USA
1649,Sean O'Hair,86,71.030,295.3,60.74,64.34,.169,.012,.180,"1,293",3,,2015,"$1,662,300",USA
1650,Sergio Garcia,59,69.958,300.0,59.47,67.56,-.022,1.067,1.045,"1,177",4,,2015,"$2,670,229",ESP
1651,Seung-Yul Noh,65,71.465,292.7,54.87,65.90,.066,-.220,-.154,432,1,,2015,"$711,609",KOR
1652,Shawn Stefani,94,70.421,296.3,62.06,68.79,.074,.423,.497,"1,171",3,,2015,"$1,757,803",USA
1653,Spencer Levin,99,70.837,283.7,69.09,68.27,-.065,.135,.070,764,1,,2015,"$836,698",USA
1654,Steve Wheatcroft,87,71.072,288.3,63.03,64.59,.345,-.383,-.038,536,2,,2015,"$973,024",USA
1655,Steven Alker,62,71.094,278.3,71.41,66.57,-.146,.163,.017,216,,,2015,"$236,862",NZL
1656,Steven Bowditch,103,70.835,302.1,54.04,63.43,.144,.256,.400,454,2,1,2015,"$3,075,410",AUS
1657,Stewart Cink,77,70.774,293.6,57.35,72.94,.102,.367,.468,612,1,,2015,"$694,655",USA
1658,Sung Joon Park,79,71.469,283.7,65.73,64.72,-.421,-.167,-.588,426,1,,2015,"$597,103",KOR
1659,Tim Wilkinson,73,71.944,279.1,63.09,62.44,-.278,-.569,-.847,183,,,2015,"$171,654",NZL
1660,Tom Hoge,83,70.812,292.2,58.84,66.03,.005,.410,.415,441,2,,2015,"$690,319",USA
1661,Tony Finau,106,70.281,309.0,54.30,67.61,-.006,.634,.628,"1,293",5,,2015,"$2,095,186",USA
1662,Troy Merritt,91,71.458,285.2,62.83,63.37,.384,-.579,-.195,"1,148",3,1,2015,"$2,092,669",USA
1663,Tyrone Van Aswegen,58,71.684,285.6,53.39,66.77,-.152,-.428,-.580,142,,,2015,"$168,234",RSA
1664,Vijay Singh,78,70.761,290.6,60.06,66.24,-.511,.812,.302,508,1,,2015,"$752,462",FIJ
1665,Webb Simpson,81,70.310,289.4,67.85,67.81,-.646,1.346,.700,"1,213",5,,2015,"$2,046,260",USA
1666,Whee Kim,71,71.097,282.4,60.40,68.20,-.093,.081,-.013,393,2,,2015,"$755,998",KOR
1667,William McGirt,103,70.647,280.4,67.87,67.85,.060,.395,.455,955,1,,2015,"$1,004,696",USA
1668,Willy Wilcox,58,69.804,296.6,68.98,72.53,.322,.863,1.186,649,4,,2015,"$1,168,302",USA
1669,Zac Blair,108,70.714,273.1,67.91,65.54,.527,-.356,.171,"1,126",2,,2015,"$1,244,676",USA
1670,Zach Johnson,90,69.753,282.6,71.21,68.58,.040,1.081,1.120,"1,450",10,1,2015,"$4,801,487",USA
1671,�?ngel Cabrera,53,71.734,299.7,55.90,64.88,-.572,-.032,-.604,208,,,2015,"$381,942",ARG
1672,Aaron Baddeley,93,70.888,291.7,55.42,63.11,.581,-.347,.234,922,5,1,2016,"$1,644,915",AUS
1673,Abraham Ancer,51,72.137,276.4,65.42,61.81,-.421,-.307,-.727,147,,,2016,"$162,811",MEX
1674,Adam Hadwin,93,70.719,290.1,63.62,66.07,.529,-.003,.526,748,2,,2016,"$1,067,809",CAN
1675,Adam Scott,79,69.470,304.6,55.55,70.76,-.168,2.062,1.894,"1,930",9,2,2016,"$6,473,090",AUS
1676,Alex Cejka,71,70.675,281.5,65.89,67.99,.011,.631,.642,754,4,,2016,"$1,566,308",GER
1677,Andres Gonzales,80,71.681,294.7,54.55,66.17,.008,-.469,-.462,307,1,,2016,"$579,667",USA
1678,Andrew Landry,53,71.143,294.7,65.55,64.63,.654,-.694,-.040,217,1,,2016,"$373,980",USA
1679,Andrew Loupe,75,71.423,309.3,45.56,63.41,.301,-.416,-.115,535,4,,2016,"$1,075,276",USA
1680,Anirban Lahiri,72,71.139,291.7,56.31,62.88,-.020,.088,.068,494,1,,2016,"$835,171",IND
1681,Ben Crane,80,70.908,280.3,63.18,63.60,.216,.037,.253,500,1,,2016,"$607,892",USA
1682,Ben Martin,92,71.282,288.8,62.14,66.73,.140,-.117,.023,901,2,,2016,"$1,205,730",USA
1683,Bill Haas,86,70.444,289.6,62.34,67.14,-.174,.693,.519,"1,285",6,,2016,"$2,390,199",USA
1684,Billy Horschel,73,70.548,293.0,60.71,67.70,.076,.733,.810,"1,199",5,,2016,"$1,744,571",USA
1685,Billy Hurley III,66,70.846,277.7,65.36,62.71,.433,-.084,.348,"1,121",2,1,2016,"$1,770,400",USA
1686,Blayne Barber,84,71.032,289.6,62.37,66.74,.010,.088,.099,628,1,,2016,"$768,585",USA
1687,Boo Weekley,83,71.000,291.5,66.98,67.87,-.225,.307,.082,532,2,,2016,"$991,660",USA
1688,Branden Grace,63,70.204,295.6,55.14,66.76,-.105,.960,.855,"1,443",6,1,2016,"$2,878,868",RSA
1689,Brandt Snedeker,93,70.203,292.6,58.69,65.67,.343,.518,.860,592,7,1,2016,"$3,960,142",USA
1690,Brendan Steele,88,70.855,302.2,60.29,68.72,-.257,.532,.275,"1,001",2,,2016,"$1,589,266",USA
1691,Brendon Todd,66,72.728,280.1,58.02,54.23,.462,-2.055,-1.593,60,,,2016,"$75,772",USA
1692,Brendon de Jonge,83,71.603,287.5,59.19,65.64,.156,-.489,-.332,304,,,2016,"$415,583",ZIM
1693,Brett Stegmaier,87,70.995,295.3,60.93,66.80,-.060,.108,.048,559,3,,2016,"$1,086,714",USA
1694,Brian Harman,104,70.996,289.7,63.41,64.85,.485,-.225,.260,"1,187",2,,2016,"$1,299,801",USA
1695,Brian Stuard,66,71.242,277.7,71.07,63.30,-.022,-.070,-.093,"1,040",1,1,2016,"$1,666,014",USA
1696,Bronson Burgoon,83,71.132,293.1,57.30,66.24,.015,-.217,-.202,428,,,2016,"$557,020",USA
1697,Brooks Koepka,75,69.956,302.6,58.60,66.98,.445,.648,1.092,"1,541",7,,2016,"$3,322,393",USA
1698,Bryce Molder,80,70.901,280.2,62.53,61.32,.553,-.013,.540,718,5,,2016,"$1,353,385",USA
1699,Bubba Watson,72,70.333,310.6,55.11,69.16,-.367,1.359,.992,478,4,1,2016,"$3,492,842",USA
1700,Cameron Smith,73,71.759,286.3,59.21,62.72,-.057,-.706,-.763,304,,,2016,"$477,843",AUS
1701,Cameron Tringale,81,71.256,285.1,59.57,65.66,.057,-.081,-.024,539,1,,2016,"$1,064,066",USA
1702,Camilo Villegas,83,71.440,287.0,52.18,62.10,.203,-.572,-.369,313,,,2016,"$450,056",COL
1703,Carlos Ortiz,79,71.906,298.9,52.77,64.44,-.223,-.477,-.701,238,,,2016,"$263,466",MEX
1704,Chad Campbell,90,70.566,287.9,64.39,68.15,-.256,.821,.565,829,3,,2016,"$1,168,073",USA
1705,Chad Collins,73,71.532,279.3,57.41,62.40,-.004,-.448,-.452,402,1,,2016,"$734,548",USA
1706,Charl Schwartzel,73,70.004,296.7,56.86,68.73,-.137,1.180,1.043,430,5,1,2016,"$2,936,027",RSA
1707,Charles Howell III,91,70.418,303.4,52.60,68.01,.133,.540,.673,"1,191",5,,2016,"$1,974,962",USA
1708,Charley Hoffman,91,70.658,298.2,54.80,64.58,-.036,.598,.562,"1,383",1,1,2016,"$2,350,239",USA
1709,Chesson Hadley,81,71.541,296.5,56.58,65.26,-.165,-.047,-.213,293,,,2016,"$503,993",USA
1710,Chez Reavie,90,70.661,287.3,68.22,68.09,-.262,.761,.500,772,2,,2016,"$1,086,964",USA
1711,Chris Kirk,90,70.920,285.9,62.02,64.05,-.006,.660,.653,"1,167",3,,2016,"$1,762,335",USA
1712,Chris Stroud,82,71.101,286.3,60.70,66.60,.150,-.029,.121,412,1,,2016,"$599,176",USA
1713,Colt Knost,90,70.785,269.7,73.36,65.25,.384,-.060,.324,803,3,,2016,"$1,594,587",USA
1714,D.A. Points,55,71.655,282.3,59.47,65.36,-.596,.190,-.406,167,,,2016,"$305,250",USA
1715,D.H. Lee,61,73.415,280.4,60.85,60.14,.042,-1.821,-1.778,104,,,2016,"$174,683",KOR
1716,Daniel Berger,92,70.339,298.4,56.68,67.67,.175,.718,.893,422,6,1,2016,"$3,290,764",USA
1717,Daniel Summerhays,99,70.771,288.0,58.65,63.02,.592,-.356,.236,975,2,,2016,"$2,045,968",USA
1718,Danny Lee,93,71.118,286.6,64.05,63.95,-.207,.510,.302,699,2,,2016,"$1,405,722",NZL
1719,David Hearn,95,70.870,281.2,65.94,68.25,.214,.311,.525,"1,084",2,,2016,"$1,211,514",CAN
1720,David Lingmerth,84,71.050,284.8,67.36,63.99,.055,.206,.261,925,2,,2016,"$1,863,783",SWE
1721,David Toms,62,70.872,269.7,67.98,65.50,.132,.248,.380,455,1,,2016,"$774,522",USA
1722,Dawie van der Walt,72,71.376,290.2,56.89,66.75,-.061,-.213,-.274,239,,,2016,"$301,697",RSA
1723,Derek Ernst,59,72.075,294.6,60.10,66.18,-.556,-.127,-.683,159,,,2016,"$190,736",USA
1724,Derek Fathauer,94,71.073,288.2,52.02,62.00,.353,-.752,-.399,633,1,,2016,"$898,430",USA
1725,Dicky Pride,55,72.102,278.9,65.86,60.90,.144,-.974,-.830,84,,,2016,"$101,456",USA
1726,Dustin Johnson,87,69.172,313.6,57.17,67.82,.328,1.664,1.993,"2,380",15,3,2016,"$9,365,185",USA
1727,Emiliano Grillo,93,70.637,294.3,66.93,68.52,-.056,.534,.479,902,3,1,2016,"$3,371,705",ARG
1728,Erik Compton,65,71.884,284.7,53.64,58.64,-.019,-.679,-.698,236,,,2016,"$247,903",USA
1729,Ernie Els,66,71.371,292.8,52.93,61.20,.405,-.428,-.024,273,1,,2016,"$559,024",RSA
1730,Fabián Gómez,82,71.346,289.0,61.44,63.71,.213,-.249,-.037,"1,450",4,1,2016,"$2,227,040",ARG
1731,Francesco Molinari,64,70.436,286.7,63.76,64.93,-.296,.859,.562,550,3,,2016,"$1,083,155",ITA
1732,Freddie Jacobson,86,70.809,280.3,59.03,64.86,.478,-.432,.047,714,3,,2016,"$1,354,196",SWE
1733,Gary Woodland,95,70.234,306.1,56.69,68.74,-.130,1.097,.968,510,4,,2016,"$2,392,044",USA
1734,Geoff Ogilvy,63,71.464,291.9,61.24,63.65,-.437,.249,-.187,283,1,,2016,"$397,595",AUS
1735,George McNeill,51,71.848,284.5,60.99,64.16,-.485,-.306,-.791,134,,,2016,"$213,895",USA
1736,Graeme McDowell,63,70.899,281.4,67.70,64.44,-.208,.030,-.178,"1,250",5,1,2016,"$2,596,170",NIR
1737,Graham DeLaet,70,71.074,297.9,60.11,68.35,-.211,.283,.072,490,3,,2016,"$908,557",CAN
1738,Greg Owen,85,71.677,297.7,59.22,69.75,-.947,.532,-.415,319,1,,2016,"$484,955",ENG
1739,Harold Varner III,92,71.045,302.0,59.33,66.24,-.377,.478,.101,819,4,,2016,"$1,327,320",USA
1740,Harris English,97,70.463,299.2,55.01,64.83,.592,-.017,.574,"1,270",3,,2016,"$2,014,283",USA
1741,Henrik Norlander,71,71.157,288.1,63.39,68.24,.018,.049,.066,273,,,2016,"$290,889",SWE
1742,Hideki Matsuyama,76,70.034,294.5,62.04,68.11,-.025,1.315,1.290,728,8,1,2016,"$4,193,954",JPN
1743,Hiroshi Iwata,85,71.693,288.8,58.34,59.50,.154,-.775,-.621,339,1,,2016,"$634,862",JPN
1744,Hudson Swafford,104,70.875,306.9,61.43,68.80,.203,.100,.302,981,1,,2016,"$1,027,314",USA
1745,Hunter Mahan,61,72.105,294.8,57.13,62.75,.291,-1.063,-.773,174,,,2016,"$230,694",USA
1746,J.B. Holmes,77,70.523,314.5,51.68,65.17,-.153,.634,.481,360,6,,2016,"$2,969,608",USA
1747,J.J. Henry,68,72.019,287.3,59.33,67.51,-.237,-.475,-.711,162,,,2016,"$280,674",USA
1748,James Hahn,85,71.245,290.9,60.71,64.58,-.245,.001,-.244,"1,452",3,1,2016,"$2,367,521",USA
1749,Jamie Lovemark,91,70.896,304.8,57.32,65.32,.142,.321,.463,"1,232",5,,2016,"$1,940,890",USA
1750,Jason Bohn,67,71.126,276.3,67.56,66.33,.032,-.252,-.220,670,3,,2016,"$1,369,705",USA
1751,Jason Day,76,69.313,304.2,50.46,67.23,1.130,.987,2.118,"1,440",10,3,2016,"$8,045,112",AUS
1752,Jason Dufner,105,70.212,293.2,62.83,70.15,-.353,.840,.488,522,6,1,2016,"$2,879,884",USA
1753,Jason Gore,78,71.627,289.2,63.63,66.52,-.079,-.453,-.532,307,,,2016,"$416,654",USA
1754,Jason Kokrak,89,70.570,307.4,58.41,68.66,-.270,.830,.560,"1,554",4,,2016,"$1,934,250",USA
1755,Jeff Overton,69,71.466,285.0,59.25,63.85,-.416,-.076,-.492,289,1,,2016,"$410,246",USA
1756,Jerry Kelly,76,70.937,278.2,71.20,66.67,-.214,.381,.167,834,2,,2016,"$1,328,657",USA
1757,Jhonattan Vegas,97,70.903,304.4,56.57,69.71,.098,.505,.604,362,5,1,2016,"$2,478,980",VEN
1758,Jim Furyk,52,70.130,280.8,69.09,68.27,.067,.463,.530,745,3,,2016,"$1,538,204",USA
1759,Jim Herman,93,71.206,291.1,65.59,65.65,-.278,.098,-.180,"1,415",2,1,2016,"$2,091,274",USA
1760,Jimmy Walker,85,70.393,301.3,48.31,63.96,.243,.649,.892,652,5,1,2016,"$4,148,546",USA
1761,John Huh,86,71.104,284.7,68.30,66.21,-.209,.158,-.050,690,3,,2016,"$1,007,219",USA
1762,John Senden,88,70.717,289.7,60.07,68.86,.329,.180,.510,719,1,,2016,"$989,841",AUS
1763,Johnson Wagner,86,70.781,289.4,61.13,69.38,.273,.095,.368,808,3,,2016,"$1,083,787",USA
1764,Jon Curran,99,71.145,271.9,64.35,63.02,.407,-.354,.053,950,3,,2016,"$1,902,481",USA
1765,Jonas Blixt,79,71.190,290.3,57.79,60.96,.520,-.621,-.101,576,2,,2016,"$1,115,322",SWE
1766,Jordan Spieth,80,69.520,295.4,58.14,63.52,.758,.811,1.569,"1,168",8,2,2016,"$5,538,470",USA
1767,Justin Rose,65,70.148,303.9,57.90,67.92,-.197,1.325,1.128,"1,191",5,,2016,"$2,085,365",ENG
1768,Justin Thomas,99,70.571,301.3,53.94,65.63,-.185,.506,.320,748,7,1,2016,"$4,126,366",USA
1769,K.J. Choi,73,71.093,275.3,66.18,65.37,.352,-.174,.178,705,2,,2016,"$1,328,448",KOR
1770,Keegan Bradley,82,70.741,300.0,64.57,69.58,-.631,.929,.298,605,2,,2016,"$899,985",USA
1771,Kelly Kraft,63,71.333,289.8,60.36,67.42,.185,-.146,.039,273,1,,2016,"$403,437",USA
1772,Ken Duke,58,71.880,280.2,64.18,59.26,-.524,-.210,-.734,309,2,,2016,"$773,025",USA
1773,Kevin Chappell,93,70.501,296.3,60.68,66.37,-.310,1.080,.770,"1,320",8,,2016,"$4,501,050",USA
1774,Kevin Kisner,97,70.489,289.0,64.92,65.19,.667,-.119,.548,436,6,1,2016,"$3,424,354",USA
1775,Kevin Na,96,70.298,279.6,65.30,66.73,.074,.553,.627,400,8,,2016,"$3,441,291",USA
